Name,URL,Category,100-char description
Town,https://www.town.com,Fintech / AI Tax,AI-powered tax prep and advice for startups and SMBs with dedicated human experts.
Basewell,https://www.basewell.com,SaaS / AI,"No-code AI platform for enterprise search, training, and automated knowledge workflows."
Firecrawl,https://www.firecrawl.dev,AI Tool / Data,"Web data API for AI—crawl, search, and extract clean, LLM-ready content at scale."
Saint Urbain,https://www.sainturbain.com,Design Agency,"Brand and digital studio crafting expressive identities, campaigns, and websites."
Julius,https://outlinetype.com/julius,Typeface,High-contrast display typeface designed for striking editorial and identity use.
GT Pantheon,https://gt-pantheon.com,Typeface,"Elegant, size-specific serif family built for display, text, and micro typography."
Kus,https://mikekus.com,Portfolio / Creative,"Mike Kus’s portfolio—bold web, brand, illustration, and photography projects."
The Equity Fund,https://theequityfund.org,Nonprofit / Climate,"Philanthropy advancing equitable climate action with local, community-led power."
New Layer Capital,https://nlc.obys.agency,Venture Capital,Investment firm backing companies building on Bitcoin across energy and apps.
Daniel Sun,https://danielsun.co,Portfolio,Designer portfolio site.
Pepette,https://pepette.co,E-commerce / CPG,Fresh pet-food brand.
Liveblocks,https://liveblocks.io,SaaS / DevTool,Ready-made AI copilots and multiplayer features to add realtime collab to apps.
Mirage,https://mirage.framer.media,Template,Framer template for AI/SaaS—high-impact pages optimized for launches that convert.
Vlad Zaporozhskyi,https://www.zapovlad.com,Portfolio,Toronto product designer focused on joyful interactions and scalable systems.
TOP,https://top.studio,Design Studio,Creative studio.
NewWorld,https://newworld.com,Creative / Strategy,Cultural intelligence agency.
Cluely,https://cluely.com,AI Tool,"Real-time meeting copilot offering guidance, feedback, and instant follow-ups."
Jords+Co,https://jordsandco.com,Design Studio,Brand and web studio.
Aino,https://aino.agency,Design Agency,European brand and digital studio delivering refined identities and websites.
DICE,https://dice.fm,Ticketing / Entertainment,"Ticketing app for live music, festivals, and clubs with discovery, waitlists, resales."
Runway,https://runwayml.com,AI Tool / Video,"AI video and image platform for text-to-video, editing, and creative workflows."
Cash App,https://cash.app,Fintech,"Peer-to-peer payments, banking, cards, and investing in one mobile-first fintech app."
&Fold™,https://andfold.co,Design Studio,"Brand and digital studio crafting identities, websites, and motion for modern companies."
Penny Pension,https://pennypension.com,Fintech / Retirement,"Retirement app automating contributions, tracking growth, and simplifying long-term planning."
Cyphr,https://www.cyphr.studio,Design Studio,"Design studio and product partner delivering brands, websites, and digital systems."
NTGent,https://ntgent.be,Arts & Culture / Theatre,"City theatre producing contemporary performances, festivals, and cultural programs."
Elegant Seagulls,https://elegantseagulls.com,Design Agency,"Award-winning creative agency building bold brands, websites, and campaign experiences."
Devouring Details,https://devouringdetails.com,Media / Design Blog,"Design blog exploring packaging, branding, spaces, and product details that delight."
Best Friend Finance,https://www.bestfriend.finance,Fintech / Education,"Personal finance guides, tools, and coaching to build confident money habits and plans."
Kinhive,https://kinhive.com,SaaS / Community,"SaaS for community-led growth with member tools, analytics, monetization, and payments."
Rise at Seven,https://riseatseven.com,Marketing Agency,"Search-led creative agency driving growth with PR, content, and technical SEO."
Solflare,https://solflare.com,Crypto / Wallet,"Non-custodial Solana wallet for DeFi, NFTs, staking, and secure cross-platform access."
Baseform,https://baseform.com,SaaS / Analytics,"Data and analytics software for monitoring, modeling, and long-term asset planning."
Recraft,https://recraft.ai,AI Tool / Design,"AI design tool generating vector art, icons, textures, and brand-ready illustrations."
Thursday,https://thursdayapp.com,Consumer App / Dating,"Dating app built around weekly drops, live events, and real-world meetups."
Revitin,https://revitin.com,E-commerce / CPG,"Prebiotic toothpaste brand offering gentle, non-toxic oral care for daily use."
Sunrise Robotics,https://sunriserobotics.com,Robotics / Hardware,Robotics company building autonomous systems and tools for real-world operations.
Payman,https://payman.io,Fintech / Payroll,"Payroll and payments platform simplifying global payouts, compliance, and reporting."
Sidestage,https://www.sidestage.vc,Venture Capital,"Venture firm backing early founders with capital, community, and hands-on support."
Speakeasy,https://www.speakeasy.com,SaaS / Community,"Platform for private communities to run memberships, events, and curated experiences."
Telescope,https://telescope.fyi,Media / Directory,"Tech trend tracker and directory curating tools, startups, and ideas worth watching."
PrimeLink,https://www.primelink.io,SaaS,"Link management and tracking to route audiences, analyze clicks, and grow funnels."
Streamtime,https://streamtime.net,SaaS / PM,"Job planning, time tracking, and invoicing software built for creative studios."
Outtake,https://www.outtake.ai,AI Tool / Video,AI platform that turns scripts and assets into production-ready video variations.
PUR+ Architekten,https://purplus.de,Architecture Studio,Contemporary architecture practice designing human-centered spaces and systems.
Dropbox Dash × McLaren F1,https://dropbox.com/dash,Campaign / Case Study,Collab showcase of AI search and workflows powering elite motorsport operations.
Last Studio,https://last-studio.framer.website,Template / Portfolio,"Framer template for studios—bold grid, crisp type, and ready-to-ship case layouts."
Flank,https://flank.com,Product Studio,Venture partner building and shipping thoughtful digital products and brands.
Hypra,https://hypra.studio,Design Studio,"Brand, 3D, and web studio crafting immersive identities and interactive sites."
Headroom,https://headroom.com,AI Tool / Meetings,"AI meeting assistant for notes, action items, and searchable team knowledge."
Dapper,https://meetdapper.com,Crypto / Wallet,"Consumer crypto wallet enabling apps, NFTs, and payments with simple onboarding."
Aether 1,https://www.aether1.ai,AI Tool / Agents,"Autonomous AI agents that research, plan, and execute multi-step workflows."
Glide,https://glideapps.com,SaaS / No-code,No-code app builder to turn spreadsheets and data into polished mobile apps fast.
Frank Chimero,https://frankchimero.com,Portfolio,"Designer–writer portfolio exploring design, culture, and thoughtful web essays."
Resend,https://resend.com,SaaS / DevTool,"Developer-first email API with templates, webhooks, logs, and reliable delivery."
Composio,https://composio.dev,AI Tool / Dev,"Connect AI agents to 100+ apps and APIs with secure actions, auth, and monitoring."
Alone in New York,https://aloneinnewyork.com,Media / Photography,"Photo series capturing quiet, cinematic moments across New York’s streets."
Finta,https://www.finta.com,SaaS / Fundraising,"Fundraising OS for startups: data rooms, pipeline tracking, and investor updates."
Mikki Sindhunata,https://mikkisindhunata.com,Portfolio,"Designer–developer portfolio with type-forward, interactive web experiments."
Anime.js,https://animejs.com,DevTool / Library,"Lightweight JS animation library for CSS, SVG, DOM, and JS object motion."
Windsurf,https://windsurf.com,DevTool / IDE,"AI-powered IDE that plans, edits, and ships code with agentic workflows."
Intercom Design,https://intercom.design,Design System,"Intercom’s system: foundations, components, patterns, and accessibility guidance."
Metaview,https://metaview.ai,AI Tool / Hiring,"Interview intelligence that records, transcribes, and analyzes hiring calls."
HiPortfolio,https://hiportfolio.co,Template / Portfolio,"No-code portfolio builder with templates, case-study blocks, and simple CMS."
Orbi,https://orbi.studio,Design Studio,"Brand and product studio crafting identities, websites, and digital systems."
Coidar,https://coidar.com,AI Tool / Dev,"AI coding assistant and docs search to speed reviews, fixes, and onboarding."
Velora Home,https://www.velorahome.com,E-commerce / Home,"Luxury home textiles and décor: handcrafted bedding, linens, and refined accents."
Juice,https://juice.studio,Design Studio,"Creative studio building bold brands, campaigns, and expressive web work."
Ragged Edge,https://raggededge.com,Brand Agency,London brand agency creating category-defining identities and brave strategies.
Realm,https://www.withrealm.com,Real Estate / Fintech,"Home valuation and equity insights to plan renovations, buys, or refinancing."
Advis Law,https://advishawaii.com,Legal Services,"Hawaii law firm offering business, real estate, and litigation counsel."
Collserola,https://collserola.com,Design Studio,"Independent studio crafting modern brands, sites, and product experiences."
Studio Juicebox,https://studiojuicebox.com,Design Studio,"Design & dev team for web, 3D, and motion—playful, fast, conversion-minded."
Nothing,https://nothing.tech,Consumer Electronics,"Minimalist phones, earbuds, and OS designed with striking transparent aesthetics."
Patch,https://www.patch.io,Climate Tech / SaaS,"Carbon removal and climate API to measure, reduce, and offset corporate impact."
Please Call Me Champ,https://pleasecallmechamp.com,Portfolio / Creative,"Designer portfolio with sharp type, motion, and thoughtful interactive pieces."
Not a Number,https://notanumber.io,Creative Studio,"Experimental studio exploring art, code, and playful interactive projects."
Dream Recorder,https://dreamrecorder.io,Media / Art,"Visual project turning dream narratives into cinematic, generative artworks."
Eliot Besson,https://eliotbesson.com,Portfolio,"Designer–developer portfolio featuring type-forward, interactive web work."
Potion,https://mixpotion.co,SaaS / Video Outreach,"Create personalized videos at scale for outreach, sales, and onboarding."
Nicolas Bussière,https://www.nicolasbussiere.com,Portfolio,"Designer–developer portfolio with refined type, motion, and client case studies."
Adaline,https://adaline.co,Brand / Studio,Creative venture.
Dia,https://www.diabrowser.com,Software / Browser,"Lightweight, privacy-first browser focused on speed, tabs, and reading flow."
Quartzo Studio,https://quartzo.studio,Design Studio,Brand and web studio.
Sergey Lisovskiy,https://lisovskiy.work,Portfolio,"Product designer portfolio—systems, mobile, and polished interactive work."
Jordan Jenkins,https://www.jkane.co,Portfolio,"Creative director portfolio blending strategy, identity, and digital builds."
Afterwork Industries,https://madeafterwork.com,Design Studio,"Independent studio crafting expressive brands, digital products, and sites."
Antimetal,https://antimetal.com,SaaS / Cloud,Automated AWS cost optimization with AI-driven rightsizing and savings.
Visual Electric,https://visualelectric.com,AI Tool / Imaging,AI image tool for designers.
Spencer Lowell,https://www.spencerlowell.com,Portfolio / Photography,"Photographer portfolio capturing science, tech, and surreal everyday scenes."
Cap,https://cap.so,DevTool / Utility,"Fast screen recorder for crisp, shareable captures on desktop."
Jasper,https://www.jasper.ai,AI Tool / Writing,"AI marketing copilot for brand-safe copy, campaigns, and on-brand content."
Merus,https://www.merus1894.com,E-commerce / Lifestyle,"Heritage label offering crafted goods with a classic, European sensibility."
Parabol,https://parabol.fi,Design Studio,"Finland-based studio delivering brand systems, web, and product design."
Studio B,https://studiob.design,Design Studio,Brand and digital studio.
Emily Lonetto,https://emilylonetto.com,Portfolio,"Growth leader portfolio—playbooks, case studies, and product experiments."
Collider,https://www.drinkcollider.com,E-commerce / CPG,Better-for-you energy drink brand with clean ingredients and bold flavors.
Moore,https://john-moore.framer.website,Template / Portfolio,"Framer portfolio template with clean grid, case blocks, and about/contact pages."
CRUSH STUDIO,https://crush.enterprises,Design Studio,"Creative studio building distinct brands, campaigns, and digital experiences."
SuperHi.cv,https://www.superhi.cv,SaaS / Portfolio,Simple portfolio builder for creatives to showcase work and land clients.
Avax.network,https://avax.network,Crypto / Blockchain,Smart-contract platform (Avalanche).
Customer.io,https://customer.io,SaaS / Marketing,"Data-driven messaging platform for email, push, SMS, and automated journeys."
Deel,https://www.deel.com,SaaS / HR,"Global hiring, payroll, and compliance for distributed teams in 150+ countries."
Made With Gsap,https://madewithgsap.com,Gallery / Dev,Showcase of websites and experiments built with GSAP animations.
Jake®,https://jake-food.com,E-commerce / Nutrition,Complete food brand.
Letters,https://letters.app,SaaS / Writing,Minimal writing and publishing app for thoughtful letters and simple newsletters.
ONBOX,https://www.onboxcreative.com,Design Studio,"Brand and web studio delivering strategy, identity, and conversion-ready sites."
Contentsquare,https://contentsquare.com,SaaS / Analytics,Digital experience analytics.
Circula,https://www.circula.com/en?ref=a1.gallery,SaaS / Fintech,"Employee expenses, travel, and benefits platform for modern finance teams."
Tailscale,https://tailscale.com,DevTool / Networking,Zero-config mesh VPN for secure access across devices and networks.
The Uncommon Founder,https://www.theuncommonfounder.com,Media / Education,"Essays, playbooks, and tools on building unconventional, resilient companies."
ANALOGUE,https://madebyanalogue.co.uk,Design Agency,"UK studio crafting brands, digital products, and high-performing ecommerce sites."
Muse Design Studio,https://musestudio.uk,Design Studio,"Boutique studio building thoughtful brand identities, motion, and modern websites."
Lué Studio®,https://lue.studio,Design Studio,Creative studio shaping refined brands and interactive web experiences.
Pixelier Mache,https://www.a1.gallery/#,Portfolio / Creative,"Experimental showcase of visuals, motion, and interactive web pieces."
EQ Lab,https://eqlab.io,Design / R&D,"Research-led team exploring AI, product strategy, and future-forward experiences."
Carl Beaverson,https://carlbeaverson.com,Portfolio,Designer–developer portfolio with crisp case studies and polished UI work.
Your Creative,https://yourcreative.com.au,Design Agency,"Melbourne agency delivering brand systems, campaigns, and conversion-focused sites."
Blackalgo,https://blackalgo.com,AI / Consulting,"Applied AI partner turning data into tools, insights, and measurable outcomes."
Muse,https://muse.place,Creative Studio,"Brand and web studio delivering identity, content, and digital products."
CMD+B,https://cmdb.studio,Design Studio,"Design practice crafting visual identities, websites, and product interfaces."
State of AI in Design,https://stateofai.design,Report / Research,"Industry report on how AI reshapes workflows, tools, and creative processes."
Contractbook,https://contractbook.com,SaaS / Legal,"All-in-one contract management: draft, sign, organize, and automate workflows."
STUDIO HERRSTRÖM,https://www.studioherrstrom.com,Design Studio,"Scandinavian studio creating bold identities, editorial visuals, and websites."
xAI,https://x.ai,AI Research,AI research company developing frontier models and real-world applications.
Method,https://method.framer.media,Template,"Framer template for agencies—clean sections, case grids, and fast publishing."
Zig Zag Creative,https://zigzagcreative.co,Design Agency,"Creative agency building energetic brands, motion, and digital campaigns."
Daniella Marynova,https://hellodani.co,Portfolio,"Art director portfolio blending cinematic visuals, type, and interactive craft."
Tars,https://hellotars.com,SaaS / Chatbots,"Build chatbots to qualify leads, book demos, and support customers at scale."
Keynote,https://apple.com/keynote,Software / Presentation,"Presentation tool for designing elegant slides, animations, and live demos."
Bird,https://bird.com,Mobility / Transportation,Micromobility company offering scooter rentals and urban transport solutions.
Human Voice Over,https://www.humanvoiceover.com,Audio / Services,Marketplace for premium human voiceovers with fast turnaround and revisions.
GT Standard,https://gt-standard.com,Typeface,"Versatile grotesk type family designed for brands, interfaces, and editorial."
CS Transformation Report,https://transformation.intercom.com,Report / SaaS,Intercom’s customer service transformation report with trends and benchmarks.
CASSETTE,https://www.cassettemusic.com,Music / Media,Label and creative collective releasing genre-bending music and experiences.
Joyful Health,https://www.joyfulhealth.io,Health / Coaching,"Faith-based wellness app with coaching, community, and habit-building tools."
Swehl,https://swehl.com,E-commerce / Health,Modern postpartum essentials and education for new parents.
Pacer,https://www.pacer.studio,Design Studio,"Brand and product studio delivering strategy, identity, and performant sites."
OFFF 2025,https://www.offf.barcelona,Conference / Festival,"International creativity festival with talks, workshops, and immersive showcases."
Eduard Bodak,https://www.eduardbodak.com,Portfolio,"Designer portfolio featuring bold type, motion, and interactive case studies."
Rabbits Black,https://rabbitsblack.com,Media / Music,"Online magazine covering rock, festivals, and live music culture."
Reown,https://reown.com,DevTool / Web3,"Tools and APIs for wallet connections, web3 auth, and secure on-chain UX."
Typography In Web Design,https://tiwd.courses,Education / Course,"Practical course on typography systems, readability, and modern web type craft."
Kindsight,https://kindsight.studio,Studio / Research,"Strategy and design studio exploring brand, product, and culture insights."
Bounti,https://bounti.com,Fintech / Rewards,"Earn, track, and redeem rewards that grow with your everyday payments activity."
Jacob Turner,https://jacobturner.design,Portfolio,Designer–developer portfolio with crisp case studies and interactive builds.
Roman Tesliuk,https://romantesliuk.com,Portfolio,"Product designer portfolio focused on clean UI, systems, and motion details."
HiKeys—1977,https://www.hikeys1977.com,Music / Creative,Retro-inspired music and design project with bold visuals and collectible vibes.
Amie,https://amie.so,SaaS / Productivity,"Calendar and tasks in one fast app designed for focus, flow, and life planning."
The Playa,https://theplaya.co,Creative Studio,"Culture-led studio crafting brands, content, and experiential digital work."
Jitter,https://jitter.video,SaaS / Motion,"Browser-based motion design to animate UI, logos, and social posts in minutes."
Uniswap,https://app.uniswap.org,Crypto / DeFi,"Leading decentralized exchange to swap, earn, and manage ERC-20 tokens."
Mural,https://mural.co,SaaS / Collaboration,"Visual collaboration whiteboard for workshops, brainstorming, and teamwork."
Hashnode,https://hashnode.com,SaaS / Blogging,"Developer blogging platform with custom domains, drafts, and community reach."
Worknight Studio,https://worknight.studio,Design Studio,"Independent studio building distinctive brands, websites, and campaigns."
Rail,https://rail.io,Fintech / Payments,Modern payments infrastructure powering global payouts and money movement.
Ameba,https://ameba.studio,Design Studio,Brand and product studio creating expressive identities and modern sites.
Epidemic Sound,https://epidemicsound.com,Music / Licensing,"Royalty-free music and SFX library for creators, brands, and productions."
Abode,https://www.abode.space,Interiors / Design,"Studio crafting thoughtful interiors, spaces, and visual identity systems."
Personio,https://www.personio.com,SaaS / HR,"All-in-one HR platform for SMEs: hiring, payroll, time off, and performance."
Hurry Up & Have Fun,https://www.hurryupandhavefun.com,Creative Studio,"Playful studio making bold brands, motion, and interactive web experiences."
Steel,https://steel.agency,Design Agency,"Brand and digital agency delivering strategy, identity, and product design."
Daybreak Studio,https://daybreak.studio,Design Studio,"Brand and web studio focused on clarity, craft, and measurable outcomes."
Navigate,https://nvg8.io,Web3 / DevTool,"Tools and APIs to build identity-aware, on-chain apps with trusted data."
Refresh Studio,https://refresh.studio,Design Studio,"Boutique studio shipping identities, websites, and content that converts."
Apollo,https://www.apollo.io,SaaS / Sales,"B2B sales platform for prospecting, enrichment, outreach, and pipeline growth."
TravelPerk,https://travelperk.com,SaaS / Travel,"Business travel booking, policy control, spend tracking, and traveler support."
SPACING,https://www.spacing.co,SaaS / Design Tool,"Spacing and layout utility to plan scales, rhythm, and consistent UI spacing."
The Stacked Store,https://stackedstore.com,E-commerce / Assets,"Marketplace for design resources, mockups, and templates for fast shipping."
Atlas,https://atlascard.com,Fintech / Card,Cash-back debit card and app with instant rewards and simple money tools.
Eco,https://eco.com,Fintech,"Spend and save app with rewards, high yield, and simple everyday payments."
Mikko Fuselle,https://fuselle-template.framer.website/home/grid-02?ref=a1.gallery,Template / Portfolio,"Framer portfolio template with bold grids, crisp type, and case-study layouts."
Haptic,https://haptic.studio,Design Studio,"Brand and product studio crafting tactile, human-centered digital experiences."
Sonder Studio,https://sonder.studio,Design Studio,"Independent studio building thoughtful brands, sites, and motion systems."
Click Therapeutics,https://www.clicktherapeutics.com,HealthTech / DTx,Prescription-grade digital therapeutics that treat disease through software.
MMI Festival,https://festival.mmilens.fr,Festival / Photography,"Student-led festival showcasing visual storytelling, media, and design work."
Caladan,https://caladan.bio,Biotech,Platform biotech advancing programmable biology and next-gen therapeutics.
Konolee,https://konolee.com,Design Studio,"Studio creating refined identities, packaging, and modern web experiences."
OneLeft,https://oneleft.co,Product Studio,Venture studio partnering with founders to design and ship new products.
Peter Tarka,https://petertarka.com,Portfolio / 3D,3D artist portfolio featuring high-impact visuals for brands and campaigns.
Osmo,https://playosmo.com,EdTech,Playful learning platform blending hands-on games with interactive tech.
Coinsetters,https://coinsetters.com,Fintech / Crypto,"Tools and insights for digital assets, trading, and modern crypto finance."
TwelveLabs,https://www.twelvelabs.io,AI Tool / Video,"Multimodal AI that understands video for search, summarization, and insights."
Allier Ho,https://allierho.com,Portfolio,"Designer portfolio with systems thinking, clean interfaces, and motion."
Handshake,https://joinhandshake.com,SaaS / Hiring,Early-talent hiring network connecting students and grads with employers.
Collective,https://collective.com,Fintech / Accounting,Finance and bookkeeping platform tailored for solo founders and LLCs.
Human Native,https://www.humannative.ai,AI Tool / Agents,"Enterprise AI agents that plan, execute tasks, and integrate with your stack."
Tally,https://tally.so,SaaS / Forms,"Simple, free forms that look great and connect to your tools in minutes."
GoCardless,https://gocardless.com,Fintech / Payments,"Bank-to-bank payments for subscriptions, invoices, and global collections."
New Ground Coffee,https://www.newgroundcoffee.com,E-commerce / Coffee,"Small-batch roaster serving specialty coffee with bold, modern branding."
Caldera,https://caldera.xyz,DevTool / Web3,Rollup and app-chain tooling to launch scalable blockchain applications.
Purpose Talent,https://www.purposetalent.xyz,Recruiting / Talent,"Boutique talent partner placing product, design, and go-to-market leaders."
Frame.io,https://frame.io,SaaS / Video,"Cloud video collaboration with review, approvals, and versioned assets."
Schema,https://www.schema.supply,E-commerce / Design,"Curated design tools and resources for brand, type, and digital work."
Gamma,https://gamma.app,SaaS / Docs,"AI-powered docs and decks that turn ideas into polished, shareable pages."
Trawelt,https://trawelt.com,Travel / App,"Plan trips, share itineraries, and organize bookings with a simple mobile app."
Distributional,https://distributional.ai,AI Research,"Applied AI group exploring multimodal models, tooling, and evaluations."
Cloudflare Agents,https://agents.cloudflare.com,DevTool / Platform,"Deploy AI agents on Cloudflare’s network with tools, routing, and observability."
Vendredi Society,https://vendredi.co,Design Studio,"Strategy-led creative studio crafting brands, campaigns, and digital builds."
Chainlink,https://chain.link,Crypto / Oracle,Decentralized oracle network connecting smart contracts to real-world data.
Nory,https://www.nory.ai,SaaS / Restaurant Ops,"AI platform for scheduling, inventory, and margin control in hospitality."
Quechua SS25 Lookbook,https://quechua.com,Fashion / Lookbook,"Seasonal outdoor collection lookbook highlighting gear, colorways, and fits."
Books About Food,https://www.booksabout.food/,Meida/Publishing,"Curated reads, essays, and resources exploring food culture, craft, and industry."
Junction,https://junction-studio.com,Product Studio,"Venture studio partnering with teams to validate, design, and ship new products."
Rauno Freiberg,https://rauno.me,Portfolio,"Designer–engineer portfolio showcasing interactive, type-driven web experiments."
Wittl,https://www.wittl.co,Design Studio,Brand and web studio crafting minimal identities and high-impact digital work.
carlhauser,https://www.carlhauser.com,Portfolio / Creative,"Personal portfolio presenting photography, direction, and bold visual projects."
Acctual,https://www.acctual.com,Fintech / SaaS,"Modern finance tools to automate payouts, reconciliation, and real-time reporting."
Runway,https://runwayml.com,AI Tool / Video,"AI video platform for text-to-video, editing, and creative production workflows."
Mother Root,https://motherroot.com,E-commerce / CPG,"Modern aperitifs and alcohol-free drinks with vibrant, chef-inspired flavors."
OFF MENU,https://www.offmenupodcast.co.uk,Media / Events,"Food culture platform hosting tastings, chef spotlights, and culinary stories."
MasterClass,https://www.masterclass.com,Education / SaaS,"Streaming classes taught by world-class instructors across arts, biz, and more."
The Bottom Line,https://www.economist.com/newsletters/the-bottom-line,Media / Analysis,"Clear explanations and takes on money, business models, and the creator economy."
Andersen,https://andersenlab.com,Agency / Dev,"Global software partner building scalable apps, platforms, and enterprise systems."
Kit,https://kit.co,E-commerce / Tools,Product curation and shoppable kits that simplify discovery and buying decisions.
Basewell,https://www.basewell.com,SaaS / AI,"No-code AI workspace for search, training, and automated knowledge workflows."
