name,url,category,description,hidden,slug,url_key
Campsite,https://www.campsite.co,Saas  /  Community,Central hub for product updates and community posts with rich embeds.,False,campsite,campsite.co
Carefree,https://carefreespace.org,Health / Wellness,"Global network creating supportive, stigma-free spaces for youth mental health.",False,carefree,carefreespace.org
Carl Beaverson,https://carlbeaverson.com,Portfolio,Designer–developer portfolio with crisp case studies and polished UI work.,False,carl-beaverson,carlbeaverson.com
Carl Beaverson,https://carlbeaverson.com,Portfolio,Designer–developer portfolio with crisp case studies and polished UI work.,False,carl-beaverson,carlbeaverson.com
Cash App,https://cash.app,Fintech / Banking,"Peer-to-peer payments, banking, cards, and investing in one mobile-first fintech app.",False,cash-app,cash.app
Cash App,https://cash.app,Fintech / Banking,"Peer-to-peer payments, banking, cards, and investing in one mobile-first fintech app.",False,cash-app,cash.app
Central,https://centralhq.com,SaaS / Productivity,"Fintech HR suite for payroll, benefits, and compliance with AI-assisted workflows.",False,central,centralhq.com
Chainlink,https://chain.link,Crypto  /  Oracle,Decentralized oracle network connecting smart contracts to real-world data.,False,chainlink,chain.link
Chargetrip,https://www.chargetrip.com,SaaS / Developer Tool,"EV routing APIs to plan trips, find chargers, and optimize charging costs.",False,chargetrip,chargetrip.com
Chatbase,https://www.chatbase.co,AI / Chatbot,Train GPT-style chatbots on your data and embed them on your site in minutes.,False,chatbase,chatbase.co
Chatbase,https://www.chatbase.co,AI / Chatbot,Train GPT-style chatbots on your data and embed them on your site in minutes.,False,chatbase,chatbase.co
Claudia Mussett,https://clauaskee.com,Portfolio,Designer/illustrator portfolio featuring bold color and motion-driven work.,False,claudia-mussett,clauaskee.com
Clay,https://clay.earth,SaaS / CRM,"Beautiful, privacy-first relationship manager across phone, desktop, and web.",False,clay,clay.earth
Click Therapeutics,https://www.clicktherapeutics.com,SaaS / HR,Prescription-grade digital therapeutics that treat disease through software.,False,click-therapeutics,clicktherapeutics.com
Click Therapeutics,https://www.clicktherapeutics.com,SaaS / HR,Prescription-grade digital therapeutics that treat disease through software.,False,click-therapeutics,clicktherapeutics.com
Cloudflare Agents,https://agents.cloudflare.com,Devtool  /  Platform,"Deploy AI agents on Cloudflare’s network with tools, routing, and observability.",False,cloudflare-agents,agents.cloudflare.com
Cluely,https://cluely.com,AI Tool,"Real-time meeting copilot offering guidance, feedback, and instant follow-ups.",False,cluely,cluely.com
Coastpay,https://coastpay.com,Fintech,Point of sale system for restaurants and retail businesses,False,coastpay,coastpay.com
Cob,https://cobfoods.com,E-commerce,Corn-free snacks made from sorghum—popcorn flavors and pantry staples.,False,cob,cobfoods.com
Coidar,https://coidar.com,AI / Code,"AI coding assistant and docs search to speed reviews, fixes, and onboarding.",False,coidar,coidar.com
Coinsetters,https://coinsetters.com,Fintech / Crypto,"Tools and insights for digital assets, trading, and modern crypto finance.",False,coinsetters,coinsetters.com
Collective,https://collective.com,Fintech,Finance and bookkeeping platform tailored for solo founders and LLCs.,False,collective,collective.com
Collective,https://collectivefilm.com,Media/Entertainment,"Collective is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",False,collective,collectivefilm.com
Collider,https://www.drinkcollider.com,E-commerce,Better-for-you energy drink brand with clean ingredients and bold flavors.,False,collider,drinkcollider.com
Collserola,https://collserola.com,Agency / Studio,"Independent studio crafting modern brands, sites, and product experiences.",False,collserola,collserola.com
Composio,https://composio.dev,AI / Agents,"Connect AI agents to 100+ apps and APIs with secure actions, auth, and monitoring.",False,composio,composio.dev
Contentsquare,https://contentsquare.com,SaaS / Analytics,"Contentsquare is a cloud-based SaaS platform delivering powerful software solutions, seamless integrations, and enterprise-grade tools for modern businesses seeking efficiency and scalability.",False,contentsquare,contentsquare.com
Contra,https://contra.com,E-commerce,"Independent-first marketplace to find, hire, and pay flexible talent.",False,contra,contra.com
Contractbook,https://contractbook.com,SaaS / Productivity,"All-in-one contract management: draft, sign, organize, and automate workflows.",False,contractbook,contractbook.com
Conveyr,https://conveyr.ai,AI / Agents,AI-powered data integration and workflow automation platform,False,conveyr,conveyr.ai
Corcel,https://corcel.io,Saas  /  Data,Fast Postgres + Redis in one engine with real-time sync and edge caching.,False,corcel,corcel.io
Corner,https://www.cornerwebstudio.com,Agency / Studio,"Multidisciplinary studio crafting identities, sites, and motion for brands.",False,corner,cornerwebstudio.com
Craft,https://www.craft.do,Content / Media,"Modern docs and notes app for writing, organizing, and publishing work beautifully.",False,craft,craft.do
Craft,https://craft.io,Arts/Crafts,"Craft is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",False,craft,craft.io
Craft CMS,https://craftcms.com,SaaS / Developer Tool,Content management system for developers,False,craft-cms,craftcms.com
Credal,https://www.credal.ai,AI / Agents,AI-powered data security and compliance automation platform,False,credal,credal.ai
CrewAI,https://www.crewai.com,AI / Agents,Multi-agent AI platform for collaborative task automation,False,crewai,crewai.com
Curated Supply,https://curated.supply,E-commerce,Curated marketplace of quality goods from independent makers and brands.,False,curated-supply,curated.supply
Cursor,https://cursor.com,AI / Code,AI-powered code editor that understands your codebase.,False,cursor,cursor.com
Cyphr,https://www.cyphr.studio,Agency / Studio,"Design studio and product partner delivering brands, websites, and digital systems.",False,cyphr,cyphr.studio
DICE,https://dice.fm,Ticketing  /  Entertainment,"Ticketing app for live music, festivals, and clubs with discovery, waitlists, resales.",False,dice,dice.fm
Daisy AI,https://www.hidaisy.ai,AI / Code,"AI creative collaborator to capture ideas, plan content, and organize work.",False,daisy-ai,hidaisy.ai
Daniella Marynova,https://hellodani.co,Portfolio,"Art director portfolio blending cinematic visuals, type, and interactive craft.",False,daniella-marynova,hellodani.co
Daniella Marynova,https://daniellamarynova.com,Personal/Portfolio,"Daniella Marynova is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",False,daniella-marynova,daniellamarynova.com
Dapper,https://meetdapper.com,Fintech / Crypto,"Consumer crypto wallet enabling apps, NFTs, and payments with simple onboarding.",False,dapper,meetdapper.com
Darkroom,https://www.darkroom.au,Agency / Studio,"Australian studio crafting bold identities, digital products, and sites.",False,darkroom,darkroom.au
Dauw,https://www.dauw.nl,Agency / Studio,"Independent studio crafting brands, websites, and thoughtful visual systems.",False,dauw,dauw.nl
Daybreak Studio,https://daybreak.studio,Agency / Studio,"Brand and web studio focused on clarity, craft, and measurable outcomes.",False,daybreak-studio,daybreak.studio
Debut Studio,https://debut.studio,Agency / Studio,Newcastle web team building high-performing custom WordPress sites.,False,debut-studio,debut.studio
Deel,https://www.deel.com,SaaS / HR,Global payroll and compliance for international teams.,False,deel,deel.com
Deeo Studio,https://deeo.studio,Agency / Studio,"Brand, product, and web experiences crafted with research and crisp execution.",False,deeo-studio,deeo.studio
DeepReel,https://www.deepreel.com,AI / Code,AI-powered video creation and editing automation platform,False,deepreel,deepreel.com
Deepgram,https://deepgram.com,AI / Voice,AI-powered speech recognition and audio processing platform,False,deepgram,deepgram.com
Descript,https://www.descript.com,Saas  /  Video & Audio,"Edit video and podcasts like docs—record, transcribe, and publish in one app.",False,descript,descript.com
Devouring Details,https://devouringdetails.com,Content / Media,"Design blog exploring packaging, branding, spaces, and product details that delight.",False,devouring-details,devouringdetails.com
DocuSpark,https://docuspark.ai,AI / Agents,AI document processing and analysis platform,False,docuspark,docuspark.ai
Doo,https://getdooapp.com,SaaS / Productivity,Collaborative calendar app scheduling group events,False,doo,getdooapp.com
Dropbox Dash × McLaren F1,https://dropbox.com/dash,Campaign  /  Case Study,Collab showcase of AI search and workflows powering elite motorsport operations.,False,dropbox-dash-mclaren-f1,dropbox.com/dash
Duna,https://duna.com,Fintech / Payments,Payments and financial tools for growing businesses in emerging markets.,False,duna,duna.com
E-commerce,https://e-commerce.com,E-commerce,"E-commerce is a leading ecommerce platform offering seamless online shopping experiences, secure payment processing, intuitive product browsing, and modern retail solutions worldwide.",False,e-commerce,e-commerce.com
Early Works,https://www.early.works,AI Tool,Product studio that co-builds new companies across applied AI and emerging tech.,False,early-works,early.works
Eduard Bodak,https://www.eduardbodak.com,Portfolio,"Designer portfolio featuring bold type, motion, and interactive case studies.",False,eduard-bodak,eduardbodak.com
Elegant Seagulls,https://elegantseagulls.com,AI Tool,"Award-winning creative agency building bold brands, websites, and campaign experiences.",False,elegant-seagulls,elegantseagulls.com
ElevenLabs,https://elevenlabs.io,AI / Voice,AI voice synthesis for realistic text-to-speech.,False,elevenlabs,elevenlabs.io
Elevenlabs,https://elevenlabs.io,AI / Voice,AI voice synthesis for realistic text-to-speech.,False,elevenlabs,elevenlabs.io
Eliot Besson,https://eliotbesson.com,Portfolio,"Designer–developer portfolio featuring type-forward, interactive web work.",False,eliot-besson,eliotbesson.com
Emily Lonetto,https://emilylonetto.com,Portfolio,"Growth leader portfolio—playbooks, case studies, and product experiments.",False,emily-lonetto,emilylonetto.com
Endex,https://endex.ai,AI / Agents,"Evaluate, debug, and observe AI agents and workflows in production.",False,endex,endex.ai
Endex,https://endex.ai,AI / Agents,"Evaluate, debug, and observe AI agents and workflows in production.",False,endex,endex.ai
Endless,https://endless.design,Design Tool,"Design partner for startups across brand, product, web, and design systems.",False,endless,endless.design
Engagement Miner,https://engagementminer.com,AI / Agents,AI-powered social media engagement and analytics platform,False,engagement-miner,engagementminer.com
Envelope,https://www.envelope.so,AI / Agents,AI agent platform for business process automation,False,envelope,envelope.so
Epidemic Sound,https://epidemicsound.com,Music  /  Licensing,"Royalty-free music and SFX library for creators, brands, and productions.",False,epidemic-sound,epidemicsound.com
Esme,https://weareesme.com,E-commerce,"Seaweed-based, breathable underwear focused on comfort and skin health.",False,esme,weareesme.com
Euphemia,https://euphemia.com,Family Office  /  Vc,"Aussie family office funding startups, funds, and ecosystem initiatives.",False,euphemia,euphemia.com
Eva Sánchez,https://evasanchez.info,Portfolio,Art director & designer showcasing type-led identities and digital work.,False,eva-s-nchez,evasanchez.info
Exaforce,https://www.exaforce.com,AI / Agents,AI agent platform for enterprise automation and workflows,False,exaforce,exaforce.com
Fabric,https://fabric.so,Saas,"Knowledge and docs platform to capture, organize, and retrieve information.",False,fabric,fabric.so
Fabric,https://fabric.so,Saas,"Knowledge and docs platform to capture, organize, and retrieve information.",False,fabric,fabric.so
Fey,https://www.fey.com,Fintech,"Real-time earnings, data, and insights—Fey is now part of Wealthsimple.",False,fey,fey.com
Fictional,https://fictional-typeface.com,Typeface,Contemporary serif/sans family for editorial and brand systems.,False,fictional,fictional-typeface.com
Figma,https://www.figma.com,Design Tool,"Collaborative interface design tool for teams to create, prototype, and build products together in real-time.",False,figma,figma.com
Figma,https://www.figma.com,Design Tool,"Collaborative interface design tool for teams to create, prototype, and build products together in real-time.",False,figma,figma.com
Finta,https://www.finta.com,Saas  /  Fundraising,"Fundraising OS for startups: data rooms, pipeline tracking, and investor updates.",False,finta,finta.com
Finta,https://www.finta.com,Saas  /  Fundraising,"Fundraising OS for startups: data rooms, pipeline tracking, and investor updates.",False,finta,finta.com
Firecrawl,https://www.firecrawl.dev,AI / Writing,"Web data API for AI—crawl, search, and extract clean, LLM-ready content at scale.",False,firecrawl,firecrawl.dev
Flank,https://flank.com,Agency / Studio,Venture partner building and shipping thoughtful digital products and brands.,False,flank,flank.com
Flayks,https://flayks.com,Portfolio,"Félix Péault’s portfolio—concept-led digital design, motion, and experiments.",False,flayks,flayks.com
Flow Computing,https://flow-computing.com,Hardware  /  Chips,CPU/GPU-adjacent parallel processor to scale AI and data workloads.,False,flow-computing,flow-computing.com
FlowAI,https://flowai.xyz,AI / Agents,AI-powered workflow automation and process optimization,False,flowai,flowai.xyz
Flowise,https://flowiseai.com,AI / Image,Visual AI agent builder with drag-and-drop interface,False,flowise,flowiseai.com
Fly on the Wall,https://flyonthewall.app,AI / Agents,AI-powered meeting insights and conversation analysis,False,fly-on-the-wall,flyonthewall.app
Folk,https://www.folk.app,SaaS / CRM,Lightweight relationship CRM for teams to organize contacts and workflows.,False,folk,folk.app
For Good Design Lab,https://www.forgooddesignlab.com,Agency / Studio,Brand and digital studio partnering with social-impact and mission-led orgs.,False,for-good-design-lab,forgooddesignlab.com
For Good Design Lab,https://www.forgooddesignlab.com,Agency / Studio,Brand and digital studio partnering with social-impact and mission-led orgs.,False,for-good-design-lab,forgooddesignlab.com
Form&Fun,https://www.formandfun.co,Agency / Studio,"Playful studio crafting standout brands, websites, and motion-led experiences.",False,form-fun,formandfun.co
Forma,https://www.joinforma.com,SaaS / HR,"Flexible employee benefits and stipends with budgets, policies, and compliance.",False,forma,joinforma.com
Formcarry,https://formcarry.com,SaaS / Developer Tool,Form backend service collecting submissions without coding,False,formcarry,formcarry.com
Frame.io,https://frame.io,SaaS / Productivity,"Cloud video collaboration with review, approvals, and versioned assets.",False,frame-io,frame.io
Framer,https://www.framer.com,Design Tool,Interactive design tool for high-fidelity prototypes and production-ready websites.,False,framer,framer.com
Framer,https://www.framer.com,Design Tool,Interactive design tool for high-fidelity prototypes and production-ready websites.,False,framer,framer.com
Frank Chimero,https://frankchimero.com,Portfolio,"Designer–writer portfolio exploring design, culture, and thoughtful web essays.",False,frank-chimero,frankchimero.com
Freelance Things,https://www.freelancethings.co,Template,"Curated tools, tips, and templates to run a thriving freelance practice.",False,freelance-things,freelancethings.co
