name,url,category,description,featured,hidden
ACCLAIM Contractors,https://www.acclaimcontractors.com.au,Technology/Software,"ACCLAIM Contractors is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
ACS Clothing,https://acsclothing.com,E-commerce/Retail,"ACS Clothing is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
ADC Global,https://adcglobal.com,Personal/Portfolio,"ADC Global is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
AGDA | Australian Design Biennale,https://agdaaustraliandesignbiennale.com,Design/Creative,"AGDA | Australian Design Biennale is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
AGI: Preview,https://agipreview.com,Personal/Portfolio,"AGI: Preview is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
AI Agent Management Platform for contact centers 2,https://www.parloa.com,Technology/Software,"AI Agent Management Platform for contact centers is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AI Agents for Account Receivables & Working Capital Solutions | Daylit 2,https://www.daylit.com,Technology/Software,"AI Agents for Account Receivables & Working Capital Solutions | Daylit is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AI Software for Labs and Enterprise | Invisible Technologies 2,https://invisibletech.ai,Business/Productivity,"AI Software for Labs and Enterprise | Invisible Technologies is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AI-powered software for managing and monetizing media 2,https://www.backlight.co,Technology/Software,"AI-powered software for managing and monetizing media is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AIA New York,https://www.aiany.org,Technology/Software,"AIA New York is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AIAIAI,https://aiaiai.com,Technology/Software,"AIAIAI is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AIAIAI Audio,https://aiaiai.audio,Technology/Software,"AIAIAI Audio is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AIAIAI Denmark,https://aiaiaidenmark.com,Technology/Software,"AIAIAI Denmark is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AIGA InsideOut SF,https://aigainsideoutsf.com,Technology/Software,"AIGA InsideOut SF is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AIGA New York,https://www.aigany.org,Technology/Software,"AIGA New York is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AIGA | Eye on Design,https://aigadesignondesign.com,Technology/Software,"AIGA | Eye on Design is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AIGA: Design Conference 2015,https://aigadesignconference2015.com,Technology/Software,"AIGA: Design Conference 2015 is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AIR Studios,https://www.airstudios.com,Technology/Software,"AIR Studios is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
ALSO - Introducing Transcendent Mobility,https://ridealso.com,Mobility/Transportation,"ALSO - Introducing Transcendent Mobility is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
ARA Wines,https://arawines.com,Food & Beverage,"ARA Wines is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
ASJP Architecture,https://asjp.com.au,Architecture/Real Estate,"ASJP Architecture is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AVEC Drinks,https://avecdrinks.com,Food & Beverage,"AVEC Drinks is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AYR SS14,https://ayrss14.com,Personal/Portfolio,"AYR SS14 is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Aalto Festival 2018,https://aaltofestival2018.com,Media/Entertainment,"Aalto Festival 2018 is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
Aamir Shaikh,https://aamirshaikh.com,Technology/Software,"Aamir Shaikh is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Aaply 2,https://aaply.app,Technology/Software,"Aaply is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Abbotsford Convent,https://abbotsfordconvent.com,Personal/Portfolio,"Abbotsford Convent is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Abbreviated Projects,https://abbrprojects.com,Business/Productivity,"Abbreviated Projects is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Abby Seymour,https://abbyseymour.com,Personal/Portfolio,"Abby Seymour is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Abdul Wahab,https://abdulwahab.com,Personal/Portfolio,"Abdul Wahab is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Abdus Salam,https://abdussalam.com,Personal/Portfolio,"Abdus Salam is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Abhay Rahul,https://abhayrahul.com,Personal/Portfolio,"Abhay Rahul is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Abhishek Kambli,https://abhishekkambli.com,Personal/Portfolio,"Abhishek Kambli is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Above The Clouds,https://www.abovethecloudsstore.com,Technology/Software,"Above The Clouds is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Abstrakt,https://weareabstrakt.com,E-commerce/Retail,"Abstrakt is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
Academy,https://academy.pictures,Photography,"Academy is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Acayaba + Rosenberg,https://ar-arquitetos.com.br,Design/Creative,"Acayaba + Rosenberg is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Access Ventures,http://accessventures.org,Finance/Investment,"Access Ventures is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Acedesign,https://acedesign.studio,Design/Creative,"Acedesign is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Acid House,https://acidhouse.barcelona,Food & Beverage,"Acid House is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Acne Studios,https://acnestudios.com,Design/Creative,"Acne Studios is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Acre Creative,https://acrecreative.com,Design/Creative,"Acre Creative is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Act Normal,http://actnormal.co,Personal/Portfolio,"Act Normal is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Acte Training,https://acteTrianing.com,Technology/Software,"Acte Training is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Acuity:scheduling 2,https://acuity-scheduling.com,SaaS / Design,"Acuity:scheduling is a cloud-based SaaS platform delivering powerful software solutions, seamless integrations, and enterprise-grade tools for modern businesses seeking efficiency and scalability.",false,false
Ada 2,https://www.ada.cx,AI / Agents,AI customer service agents that autonomously resolve the majority of tickets.,false,true
Ada Blackjack Goods,https://adablackjackgoods.com,E-commerce/Retail,"Ada Blackjack Goods is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
Ada Sokol,https://adasokol.com,Personal/Portfolio,"Ada Sokol is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adam Andrascik,https://adamandrascik.com,Personal/Portfolio,"Adam Andrascik is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adam Brandon,http://adam-brandon.com,Design/Creative,"Adam Brandon is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Adam Ho,https://adamho.com,Personal/Portfolio,"Adam Ho is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adam Noffsinger,https://adamnoffsinger.com,Personal/Portfolio,"Adam Noffsinger is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adam Reed,https://adamreed.com,Personal/Portfolio,"Adam Reed is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adam Widmanski,https://adamwidmanski2016.com,Personal/Portfolio,"Adam Widmanski is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Addison James,https://addisonjames.com,Personal/Portfolio,"Addison James is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adelaide Review,https://adelaidereview.com,Technology/Software,"Adelaide Review is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Adele Bates,https://adelebates.com,Personal/Portfolio,"Adele Bates is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adele Type,https://adeletype.com,Typography,"Adele Type is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Adept,https://www.adept.ai,Technology/Software,"Adept is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Adi Goodrich,https://adigoodrich.com,Personal/Portfolio,"Adi Goodrich is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adidas Originals,https://adidasoriginals.com,Personal/Portfolio,"Adidas Originals is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adler Fresneda,https://adlerfresneda.com,Personal/Portfolio,"Adler Fresneda is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Admir Hadzic 2,http://admirhadzic.com,Personal/Portfolio,"Admir Hadzic is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adoratorio,https://adoratorio.studio,Design/Creative,"Adoratorio is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Adrian Zumbrunnen,https://adrianzumbrunnen.com,Personal/Portfolio,"Adrian Zumbrunnen is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Adrien_M_Studio,https://www.adrien-m.com,Design/Creative,"Adrien_M_Studio is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Advanced Urban Design,https://advancedurbandesign.com,Design/Creative,"Advanced Urban Design is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Advene,http://www.advenedesign.com,Design/Creative,"Advene is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Advocacy Through Walls,https://advocacythroughwalls.com,Recruitment/HR,"Advocacy Through Walls is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Aero,https://aerotechnology.com,Technology/Software,"Aero is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Aeron Remastered,http://www.hermanmiller.com/products/seating/performance-work-chairs/aeron-remastered.html#,Technology/Software,"Aeron Remastered is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Aesop Taxonomy of Design,https://aesoptaxonomyofdesign.com,Design/Creative,"Aesop Taxonomy of Design is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Aesse Visual Journal,https://aessevisualjournal.com,Design/Creative,"Aesse Visual Journal is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Aesthetic Invention,https://aestheticinvention.com,Personal/Portfolio,"Aesthetic Invention is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Aether,https://aether-eyewear.com,E-commerce/Retail,"Aether is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
Afresh,https://afreshtechnologies.com,Technology/Software,"Afresh is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
After School Club,https://afterschoolclub.com,Education/Training,"After School Club is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
Agence Pony,https://www.agencepony.fr,Personal/Portfolio,"Agence Pony is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Agence Rébellion,https://rblln.fr,Personal/Portfolio,"Agence Rébellion is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Agency Leroy,http://www.agencyleroy.com,Design/Creative,"Agency Leroy is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Agency Survival Kit,https://agencysurvivalkit.com,Design/Creative,"Agency Survival Kit is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Agent Pekka,https://agentpekka2015.com,Personal/Portfolio,"Agent Pekka is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Agnes Lloyd-Platt,https://agneslloydplatt.com,Personal/Portfolio,"Agnes Lloyd-Platt is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Agustín Schelstraete,https://agustnschelstraete.com,Personal/Portfolio,"Agustín Schelstraete is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Ahmad Shadeed,https://ahmadshadeed.com,Personal/Portfolio,"Ahmad Shadeed is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Ahmed Al Ismaily,https://ahmedalismaily.com,Technology/Software,"Ahmed Al Ismaily is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Ahmed Yasser,https://ahmedyasser.com,Personal/Portfolio,"Ahmed Yasser is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Ahotels,https://ahotels.com,Travel/Hospitality,"Ahotels is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Ahrefs 2,https://ahrefs.com,SaaS / Marketing,SEO tools for backlink analysis and keyword research.,false,false
Aida,https://aida.com,Technology/Software,"Aida is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Ailey,https://ailey.org,Technology/Software,"Ailey is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Aim Design Studio,https://aimdesignstudio.com,Technology/Software,"Aim Design Studio is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Ain't Saint,https://seint.store,Technology/Software,"Ain't Saint is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Air 2,https://air.com,AI Tool,"Air is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,true
Air Company,https://aircompany.com,Technology/Software,"Air Company is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Air Company — Airmade System,https://airmade.aircompany.com,Technology/Software,"Air Company — Airmade System is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Air Poster,http://www.airposter.fr,Technology/Software,"Air Poster is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Aircall 2,https://aircall.com,AI Tool,"Aircall is an AI-powered platform leveraging machine learning, artificial intelligence, and automation to deliver intelligent solutions, predictive insights, and innovative technology.",false,false
Airlift,https://www.weareairlift.com,Technology/Software,"Airlift is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Airloom 2,https://www.airloom.energy,Technology/Software,"Airloom is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Airsmart,https://airsmart.com,Technology/Software,"Airsmart is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Airtable,https://try.airtable.com/mobile,Technology/Software,"Airtable is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
AisleOne,https://aisleone.com,Technology/Software,"AisleOne is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Akuto Studio — Chord Machine AKT-0.1,https://akutostudio.com,Technology/Software,"Akuto Studio — Chord Machine AKT-0.1 is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Alabama Chanin,https://alabamachanin.com,Personal/Portfolio,"Alabama Chanin is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Alastair Strong Studio,https://alastairstrong.studio,Technology/Software,"Alastair Strong Studio is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Alba Condos,https://www.albacondos.com,Personal/Portfolio,"Alba Condos is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Albert Escolá Architect,https://albertescolaarchitect.com,Architecture/Real Estate,"Albert Escolá Architect is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Alberto Oviedo,https://albertooviedo.com,Personal/Portfolio,"Alberto Oviedo is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Albion Nord,https://albion-nord.com,Personal/Portfolio,"Albion Nord is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Alcest,https://alcestmusic.com,Music,"Alcest is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Alden Studios,https://www.aldenstudios.com,Design/Creative,"Alden Studios is a creative design platform offering professional design tools, UI/UX resources, graphic assets, templates, and inspiration for designers creating exceptional experiences.",false,false
Alec Dudson,https://alecdudson.com,Personal/Portfolio,"Alec Dudson is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Aleksi Tappura,https://aleksitappura.com,Technology/Software,"Aleksi Tappura is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Alessandro Giammaria,https://alessandrogiammaria.com,Personal/Portfolio,"Alessandro Giammaria is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Alessandro Rigobello,http://sndrgb.com,Personal/Portfolio,"Alessandro Rigobello is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Alessandro Romagnoli,https://www.alessandroromagnoliph.it,Personal/Portfolio,"Alessandro Romagnoli is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
Alessandro Scarpellini 2,https://alessandroscarpellini.com,Mobility/Transportation,"Alessandro Scarpellini is an innovative digital platform providing modern solutions, exceptional user experiences, and cutting-edge features designed to meet diverse needs.",false,false
Alessia Marcuzzi,https://alessiamarcuzzi.com,Personal/Portfolio,"Alessia Marcuzzi is a professional portfolio website showcasing creative work, design projects, case studies, and achievements with stunning visual presentation and user-friendly navigation.",false,false
